"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
1.8144000000000002e+01,6.1721001124198310e-11,6.3204177791727980e-06,8.5237413172671410e+01,1.3442576932354216e+05,1.7351991470025227e+05,1.7293718194347096e+05,8.5335372072837057e-06
1.8199999999999999e+01,6.1091690649006192e-11,5.6262354919629711e-06,8.5471883391527314e+01,1.2045642165689218e+05,1.7383222729841570e+05,1.7319499186655215e+05,8.5241539277925923e-06
1.8256000000000000e+01,6.0529087872610606e-11,5.0082000141577108e-06,8.5702465282418800e+01,1.0794075193227427e+05,1.7412548126361304e+05,1.7345072030528303e+05,8.5147400749355473e-06
1.8312000000000001e+01,6.0026079323812843e-11,4.4579702005622510e-06,8.5928946355133448e+01,9.6727389539363794e+04,1.7439944280550370e+05,1.7370125524537385e+05,8.5052954168052124e-06
1.8368000000000002e+01,5.9576315207465701e-11,3.9681184298283881e-06,8.6151126724965039e+01,8.6680735528017147e+04,1.7465388042983951e+05,1.7394389589157238e+05,8.4958197187289953e-06
1.8423999999999999e+01,5.9174126847281028e-11,3.5320245392407755e-06,8.6368817751477735e+01,7.7679318390602566e+04,1.7488856505474309e+05,1.7417629945164596e+05,8.4863127432240416e-06
1.8480000000000000e+01,5.8814453133470846e-11,3.1437961510491580e-06,8.6581840819790557e+01,6.9614321346744662e+04,1.7510327012862527e+05,1.7439643453457777e+05,8.4767742499512798e-06
1.8536000000000001e+01,5.8492774971998439e-11,2.7981878080720143e-06,8.6790026250323123e+01,6.2388263232875615e+04,1.7529777175005933e+05,1.7460254037034433e+05,8.4672039956684905e-06
1.8592000000000002e+01,5.8205056847798892e-11,2.4905224312761970e-06,8.6993212322475571e+01,5.5913816967582265e+04,1.7547184878915155e+05,1.7479309115073161e+05,8.4576017341824186e-06
1.8648000000000000e+01,5.7947694717275093e-11,2.2166425247119305e-06,8.7191244402107500e+01,5.0112751237199453e+04,1.7562528301109720e+05,1.7496676487396151e+05,8.4479672162998741e-06
1.8704000000000001e+01,5.7717469536649683e-11,1.9728421025994372e-06,8.7383974159792274e+01,4.4914982544737897e+04,1.7575785920102635e+05,1.7512241614702527e+05,8.4383001897777947e-06
1.8760000000000002e+01,5.7511505813969336e-11,1.7558231617879798e-06,8.7571258873408482e+01,4.0257726107383023e+04,1.7586936529133929e+05,1.7525905246603096e+05,8.4286003992722774e-06
1.8816000000000003e+01,5.7327234644307248e-11,1.5626414581744709e-06,8.7752960802786447e+01,3.6084735289748700e+04,1.7595959249010577e+05,1.7537581354910758e+05,8.4188675862864953e-06
1.8872000000000000e+01,5.7162360749491110e-11,1.3906898244955564e-06,8.7928946631791547e+01,3.2345620336531181e+04,1.7602833541169859e+05,1.7547195334928719e+05,8.4091014891175388e-06
1.8928000000000001e+01,5.7014833095357326e-11,1.2376335052347367e-06,8.8099086969449701e+01,2.8995238132230101e+04,1.7607539220907513e+05,1.7554682441746970e+05,8.3993018428020893e-06
1.8984000000000002e+01,5.6882818702407655e-11,1.1013988111402013e-06,8.8263255904986607e+01,2.5993145578981330e+04,1.7610056470809469e+05,1.7559986432581194e+05,8.3894683790609462e-06
1.9040000000000003e+01,5.6764679302496996e-11,9.8013864213991601e-07,8.8421330609504196e+01,2.3303109956755568e+04,1.7610365854319226e+05,1.7563058389550558e+05,8.3796008262423391e-06
1.9096000000000000e+01,5.6658950527596722e-11,8.7221189234957138e-07,8.8573190981447397e+01,2.0892670322675276e+04,1.7608448329520080e+05,1.7563855700501401e+05,8.3696989092640242e-06
1.9152000000000001e+01,5.6564323348499565e-11,7.7615420903355118e-07,8.8718719330111284e+01,1.8732744626381675e+04,1.7604285263080825e+05,1.7562341178057445e+05,8.3597623495540973e-06
1.9208000000000002e+01,5.6479627511928426e-11,6.9065981211957154e-07,8.8857800093825233e+01,1.6797277773829843e+04,1.7597858444386555e+05,1.7558482299537139e+05,8.3497908649905372e-06
